assembly_id,region_id,dbscan_label
GCF_000332235,GCF_000332235_02686,-1.0
GCF_000340785,GCF_000340785_01348,-1.0
GCF_000046845,GCF_000046845_01132,-1.0
GCF_000204075,GCF_000204075_01843,-1.0
GCF_000011385,GCF_000011385_04410,-1.0
GCF_001046875,GCF_001046875_00604,1.0
GCF_001046855,GCF_001046855_01619,1.0
GCF_009184895,GCF_009184895_02176,1.0
GCF_001050535,GCF_001050535_01444,1.0
GCF_009707485,GCF_009707485_00855,1.0
GCA_017592745,GCA_017592745_03832,0.0
GCF_009833085,GCF_009833085_00395,0.0
GCF_000009145,GCF_000009145_00933,0.0
GCA_017592785,GCA_017592785_00845,0.0
GCF_000014765,GCF_000014765_01409,0.0
GCA_009467855,GCA_009467855_02131,0.0
GCF_001455205,GCF_001455205_00694,0.0
GCA_017592725,GCA_017592725_00754,0.0
GCF_900089955,GCF_900089955_02456,0.0
GCF_000355765,GCF_000355765_02778,0.0
GCF_001007935,GCF_001007935_03096,0.0
GCF_900114795,GCF_900114795_02375,0.0
GCF_001551835,GCF_001551835_02806,0.0
GCF_005889575,GCF_005889575_01190,0.0
GCA_900089945,GCA_900089945_02989,0.0
GCF_900103035,GCF_900103035_02218,0.0
GCA_016714975,GCA_016714975_00291,0.0
GCF_009469765,GCF_009469765_00433,0.0
GCF_000519045,GCF_000519045_03415,0.0
GCF_003345255,GCF_003345255_00091,0.0
GCF_017368815,GCF_017368815_02305,0.0
GCA_017592775,GCA_017592775_02242,0.0
GCA_016709335,GCA_016709335_02022,0.0
GCF_000619905,GCF_000619905_02140,0.0
GCA_016721185,GCA_016721185_01981,0.0
GCA_016722705,GCA_016722705_01204,0.0
GCA_009467885,GCA_009467885_00742,0.0
GCA_009467885,GCA_009467885_02431,0.0
GCF_000196355,GCF_000196355_02257,0.0
