assembly_id,genus,species,organism
GCF_002937035,paracoccus,denitrificans,Paracoccus denitrificans
GCF_000332235,geminocystis,herdmanii,Geminocystis herdmanii PCC 6308
GCF_000531125,candidatus,contendobacter,Candidatus Contendobacter odensis Run_B_J11
GCF_001046875,tetrasphaera,jenkinsii,Tetrasphaera jenkinsii Ben 74
GCF_019704535,pseudomonas,stutzeri,Pseudomonas stutzeri
GCF_000310185,thauera,aminoaromatica,Thauera aminoaromatica S2
GCF_000340785,synechocystis,sp.,Synechocystis sp. PCC 6803
GCA_017592745,candidatus,accumulibacter,Candidatus Accumulibacter sp.
GCF_009833085,nitrosomonas,oligotropha,Nitrosomonas oligotropha
GCF_000009145,nitrosomonas,europaea,Nitrosomonas europaea ATCC 19718
GCA_017592785,candidatus,accumulibacter,Candidatus Accumulibacter sp.
GCF_000014765,nitrosomonas,eutropha,Nitrosomonas eutropha C91
GCF_900110145,nitrosomonas,marina,Nitrosomonas marina
GCA_009467855,candidatus,accumulibacter,Candidatus Accumulibacter phosphatis
GCF_001455205,nitrosomonas,ureae,Nitrosomonas ureae
GCF_000006765,pseudomonas,aeruginosa,Pseudomonas aeruginosa PAO1
GCF_001046855,tetrasphaera,japonica,Tetrasphaera japonica T1-X7
GCF_001696715,thauera,phenolivorans,Thauera phenolivorans
GCA_017592725,candidatus,accumulibacter,Candidatus Accumulibacter sp.
GCF_905221025,candidatus,nitrotoga,Candidatus Nitrotoga fabula
GCF_001458735,candidatus,nitrospira,Candidatus Nitrospira nitrosa
GCF_900143275,nitrosomonas,cryotolerans,Nitrosomonas cryotolerans ATCC 49181
GCF_000024725,nitrosococcus,halophilus,Nitrosococcus halophilus Nc 4
GCF_001051235,candidatus,competibacter,Candidatus Competibacter denitrificans Run_A_D11
GCF_900089955,candidatus,accumulibacter,Candidatus Accumulibacter aalborgensis
GCF_002245655,thauera,propionica,Thauera propionica
GCF_000355765,nitrosospira,lacus,Nitrosospira lacus
GCF_900107165,nitrosomonas,halophila,Nitrosomonas halophila
GCF_001007935,nitrosomonas,communis,Nitrosomonas communis
GCF_900114795,nitrosomonas,nitrosa,Nitrosomonas nitrosa
GCF_001551835,dechloromonas,denitrificans,Dechloromonas denitrificans
GCF_005889575,candidatus,accumulibacter,Candidatus Accumulibacter phosphatis
GCF_001458775,candidatus,nitrospira,Candidatus Nitrospira nitrificans
GCA_016709495,candidatus,dechloromonas,Candidatus Dechloromonas phosphorivorans
GCA_900089945,candidatus,propionivibrio,Candidatus Propionivibrio aalborgensis
GCF_900103035,nitrosomonas,mobilis,Nitrosomonas mobilis
GCF_000143145,hyphomicrobium,denitrificans,Hyphomicrobium denitrificans ATCC 51888
GCF_004421105,nitrosococcus,wardiae,Nitrosococcus wardiae
GCA_016714975,candidatus,dechloromonas,Candidatus Dechloromonas phosphorivorans
GCF_009184895,tetrasphaera,sp.,Tetrasphaera sp. F2B08
GCF_001050535,tetrasphaera,australiensis,Tetrasphaera australiensis Ben110
GCF_000046845,acinetobacter,baylyi,Acinetobacter baylyi ADP1
GCF_009469765,dechloromonas,hortensis,Dechloromonas hortensis
GCF_003030465,thauera,aromatica,Thauera aromatica K172
GCF_000204075,trichormus,variabilis,Trichormus variabilis ATCC 29413
GCF_000143085,nitrosococcus,watsonii,Nitrosococcus watsonii C-113
GCF_900403705,nitrospira,lenta,Nitrospira lenta
GCF_001273775,nitrospira,moscoviensis,Nitrospira moscoviensis
GCF_000519045,dechloromonas,agitata,Dechloromonas agitata is5
GCF_900169565,nitrospira,japonica,Nitrospira japonica
GCF_002028545,nitrobacter,vulgaris,Nitrobacter vulgaris
GCF_003345255,thauera,hydrothermalis,Thauera hydrothermalis
GCF_000455525,candidatus,microthrix,Candidatus Microthrix parvicella RN1
GCF_006742785,nitrosomonas,stercoris,Nitrosomonas stercoris
GCF_017368815,comamonas,denitrificans,Comamonas denitrificans
GCF_014672695,defluviicoccus,vanus,Defluviicoccus vanus
GCF_001051995,thauera,humireducens,Thauera humireducens
GCF_000011385,gloeobacter,violaceus,Gloeobacter violaceus PCC 7421
GCA_017592775,candidatus,accumulibacter,Candidatus Accumulibacter sp.
GCA_013414705,defluviicoccus,sp.,Defluviicoccus sp.
GCA_016709335,candidatus,propionivibrio,Candidatus Propionivibrio dominans
GCF_000013885,nitrobacter,hamburgensis,Nitrobacter hamburgensis X14
GCF_000619905,nitrosospira,briensis,Nitrosospira briensis C-128
GCA_016721185,candidatus,dechloromonas,Candidatus Dechloromonas phosphorivorans
GCA_016722705,candidatus,dechloromonas,Candidatus Dechloromonas phosphoritropha
GCF_009707485,tetrasphaera,sp.,Tetrasphaera sp. HKS02
GCF_000012725,nitrobacter,winogradskyi,Nitrobacter winogradskyi Nb-255
GCA_009467885,candidatus,accumulibacter,Candidatus Accumulibacter phosphatis
GCF_000443165,thauera,terpenica,Thauera terpenica 58Eu
GCF_001458695,candidatus,nitrospira,Candidatus Nitrospira inopinata
GCF_003046585,nitrosomonas,aestuarii,Nitrosomonas aestuarii
GCF_000196355,nitrosospira,multiformis,Nitrosospira multiformis ATCC 25196
GCF_000621305,thauera,linaloolentis,Thauera linaloolentis 47Lol = DSM 12138
GCF_905220995,nitrospira,defluvii,Nitrospira defluvii
GCF_012939995,candidatus,competibacter,Candidatus Competibacter phosphatis
